iteration,latency_ns,round_trip_us
0,642,4195.1
1,642,3872.6
2,642,4135.0
3,642,4013.2
4,642,3777.6
5,642,3933.0
6,642,4252.0
7,642,3998.2
8,642,3993.8
9,642,4229.4
10,642,3800.3
11,642,3803.9
12,642,4119.4
13,642,3712.7
14,642,3918.6
15,642,3978.5
16,642,4011.7
17,642,3939.3
18,642,3752.1
19,642,3736.0
20,642,3753.0
21,642,3946.3
22,642,3926.8
23,642,4228.2
24,642,3644.6
25,642,4036.8
26,642,4272.6
27,642,4190.7
28,642,3881.9
29,642,3990.4
30,642,3963.7
31,642,3994.4
32,642,3817.2
33,642,4136.2
34,642,4059.2
35,642,3976.5
36,642,4006.1
37,642,4192.3
38,642,3829.2
39,642,3734.2
40,642,4173.8
41,642,4020.3
42,642,3970.3
43,642,3997.1
44,642,4206.0
45,642,3821.9
46,642,3796.4
47,642,4139.8
48,642,3994.8
49,642,4012.6
50,642,3974.0
51,642,4113.6
52,642,4076.7
53,642,3624.4
54,642,4120.7
55,642,4047.1
56,642,3735.2
57,642,3863.0
58,642,4021.7
59,642,4268.6
60,642,3807.5
61,642,4180.8
62,642,4052.8
63,642,3749.5
64,642,3963.2
65,642,3987.8
66,642,4016.8
67,642,4285.2
68,642,3708.5
69,642,3968.6
70,642,4004.2
71,642,3978.4
72,642,3998.7
73,642,4212.9
74,642,4041.2
75,642,4223.3
76,642,3812.9
77,642,4139.5
78,642,3869.3
79,642,3596.2
80,642,4252.9
81,642,4026.6
82,642,3992.3
83,642,3727.2
84,642,4145.2
85,642,4108.0
86,642,3833.4
87,642,3837.8
88,642,4277.3
89,642,4021.2
90,642,4006.9
91,642,3885.6
92,642,4078.5
93,642,4131.3
94,642,3882.3
95,642,4093.8
96,642,3900.3
97,642,3712.6
98,642,3994.7
99,642,3924.4
100,642,4250.5
101,642,4047.6
102,642,4006.7
103,642,3683.4
104,642,4245.5
105,642,4045.2
106,642,3987.0
107,642,4080.3
108,642,3948.2
109,642,3955.3
110,642,4095.5
111,642,3908.3
112,642,3797.7
113,642,4139.5
114,642,4025.4
115,642,3977.7
116,642,3998.8
117,642,3865.6
118,642,4102.6
119,642,3728.8
120,642,4218.8
121,642,4054.9
122,642,4034.4
123,642,3911.7
