iteration,latency_ns,round_trip_us
0,642,3854.3
1,642,4173.4
2,642,3849.2
3,642,3815.5
4,642,4355.2
5,642,3611.8
6,642,3902.0
7,642,3159.2
8,642,4023.3
9,642,3853.2
10,642,3942.1
11,642,3117.3
12,642,3912.4
13,642,3924.3
14,642,3141.4
15,642,4011.8
16,642,3872.3
17,642,3968.2
18,642,3986.3
19,642,3211.1
20,642,3821.7
21,642,3923.4
22,642,3195.5
23,642,3850.6
24,642,3950.8
25,642,3169.9
26,642,3922.8
27,642,3898.9
28,642,3213.9
29,642,3822.0
30,642,3950.6
31,642,4064.1
32,642,4101.9
33,642,3850.6
34,642,4158.8
35,642,3964.7
36,642,3929.3
37,642,3961.8
38,642,4257.5
39,642,3795.8
40,642,4178.7
41,642,3947.6
42,642,3926.9
43,642,3915.7
44,642,4259.8
45,642,3999.7
46,642,3724.4
47,642,4255.4
48,642,3640.6
49,642,3919.9
50,642,3246.2
51,642,3780.1
52,642,3916.8
53,642,3165.3
54,642,3973.8
55,642,3890.6
56,642,3132.2
57,642,3887.6
58,642,3998.0
59,642,4042.4
60,642,3980.8
61,642,3908.9
62,642,3442.3
63,642,4115.9
64,642,3607.4
65,642,4177.2
66,642,3885.6
67,642,3954.1
68,642,3855.8
69,642,3898.9
70,642,3345.4
71,642,3860.5
72,642,4161.5
73,642,3831.0
74,642,4175.9
75,642,3732.1
76,642,4071.6
77,642,3815.8
78,642,3998.6
79,642,4249.8
80,642,3936.0
81,642,4055.6
82,642,4006.7
83,642,4243.4
84,642,3578.4
85,642,3936.6
86,642,4240.0
87,642,4034.3
88,642,4180.7
89,642,3500.0
90,642,4287.4
91,642,3785.7
92,642,3860.9
93,642,4031.6
94,642,4177.0
95,642,4226.8
96,642,3906.7
97,642,3859.3
98,642,3912.6
99,642,3916.9
100,642,4198.9
101,642,3729.8
102,642,4217.2
103,642,3952.5
104,642,3941.9
105,642,4152.0
106,642,3848.5
107,642,3851.2
108,642,4065.1
109,642,4192.5
110,642,4015.7
111,642,3887.8
112,642,4088.4
113,642,3790.4
114,642,4243.8
115,642,3656.5
116,642,3950.0
117,642,3925.4
118,642,3138.8
119,642,3922.0
120,642,3940.5
121,642,3998.8
122,642,4055.1
123,642,3905.1
124,642,3260.0
125,642,4133.8
126,642,4059.5
127,642,3779.5
128,642,3796.2
129,642,3937.4
130,642,3221.4
131,642,3820.7
132,642,4005.3
133,642,3997.7
134,642,3918.7
135,642,3161.4
136,642,3810.2
137,642,3224.8
138,642,3866.2
139,642,3945.2
140,642,3964.5
141,642,3989.4
142,642,3321.1
143,642,4067.4
144,642,4082.0
145,642,3874.2
146,642,3776.0
147,642,4339.6
148,642,3701.1
149,642,3899.5
150,642,4021.6
151,642,3843.9
152,642,4017.9
153,642,4032.0
154,642,4247.0
155,642,3697.0
156,642,3966.9
157,642,3983.2
158,642,3204.9
159,642,3819.2
160,642,3981.2
161,642,4036.5
162,642,4013.6
163,642,3999.2
164,642,3910.4
165,642,3122.9
166,642,4050.6
167,642,3830.9
168,642,4018.4
169,642,4039.6
170,642,4212.8
171,642,3842.4
172,642,4025.2
173,642,4175.5
174,642,4023.7
175,642,3785.6
176,642,3902.8
177,642,4253.1
178,642,3658.4
179,642,3908.8
180,642,3130.5
181,642,3884.5
182,642,3241.7
183,642,3866.6
184,642,4242.9
185,642,4046.9
186,642,3949.9
187,642,4056.9
188,642,3977.7
189,642,3978.2
190,642,3762.5
191,642,3947.1
192,642,3880.9
193,642,4043.2
194,642,4010.6
195,642,3874.8
196,642,3258.2
197,642,3810.0
198,642,3944.8
199,642,3132.6
200,642,3887.1
201,642,4004.4
202,642,3991.1
203,642,3924.2
204,642,4085.5
205,642,3900.4
206,642,3128.7
207,642,3943.0
208,642,3923.3
209,642,3224.7
210,642,3821.9
211,642,4038.1
212,642,3919.3
213,642,3117.2
214,642,4245.9
215,642,4023.6
216,642,3737.6
217,642,4025.0
218,642,3855.9
219,642,3962.9
220,642,4065.3
221,642,3977.6
222,642,3992.5
223,642,3883.0
224,642,3279.7
225,642,3796.5
226,642,3908.1
227,642,3189.0
228,642,3845.2
229,642,3190.7
230,642,3807.9
231,642,4054.8
232,642,4015.3
233,642,3923.4
234,642,4042.8
235,642,3983.5
236,642,4222.4
237,642,3881.0
238,642,4075.3
239,642,3817.0
240,642,4342.6
241,642,3982.8
242,642,3984.3
243,642,3762.1
244,642,4021.3
245,642,3954.3
246,642,3960.5
247,642,3888.0
248,642,3926.6
249,642,3153.6
250,642,3989.4
251,642,3861.9
252,642,3972.1
253,642,3173.7
254,642,3824.7
255,642,3143.5
256,642,3865.8
257,642,3973.3
258,642,3153.3
259,642,3865.3
260,642,3954.7
261,642,3220.2
262,642,3889.3
263,642,3989.2
264,642,3874.8
265,642,3137.3
266,642,3883.5
267,642,3958.4
268,642,3155.4
269,642,3903.1
270,642,3898.2
271,642,3207.7
272,642,3903.9
273,642,4079.5
274,642,3885.4
275,642,3929.2
276,642,3937.4
277,642,3210.6
278,642,3878.9
279,642,3919.8
280,642,3133.9
281,642,3835.1
282,642,3190.7
283,642,3851.0
284,642,3973.5
285,642,3206.4
286,642,3950.3
287,642,3843.8
288,642,3995.9
289,642,4287.4
290,642,3819.4
291,642,3965.4
292,642,4101.9
293,642,4139.1
294,642,3726.5
295,642,4254.5
296,642,3827.5
297,642,3962.8
298,642,4254.7
299,642,3816.9
300,642,4109.9
301,642,3807.7
302,642,3855.0
303,642,3998.7
304,642,3965.4
305,642,4000.9
306,642,3950.9
307,642,3979.2
308,642,3342.3
