iteration,latency_ns,round_trip_us
0,654,3893.0
1,654,3919.5
2,654,4035.5
3,654,4358.5
4,654,3871.6
5,654,4061.5
6,654,3708.9
7,654,4052.2
8,654,3815.2
9,654,3232.0
10,654,3809.8
11,654,3975.2
12,654,3998.5
13,654,3986.2
14,654,3958.9
15,654,3180.1
16,654,3832.6
17,654,3127.7
18,654,4051.6
19,654,3844.3
20,654,4265.2
21,654,3764.2
22,654,3994.3
23,654,4260.2
24,654,4353.2
25,654,3716.5
26,654,3714.5
27,654,4094.1
28,654,3773.5
29,654,4285.2
30,654,3989.3
31,654,3899.4
32,654,4147.2
33,654,4093.5
34,654,3591.8
35,654,4253.0
36,654,3885.1
37,654,4130.8
38,654,3821.2
39,654,4148.6
40,654,4996.0
41,654,3885.9
42,654,4123.5
43,654,3960.9
44,654,3656.4
45,654,3951.4
46,654,3323.3
47,654,3794.8
48,654,4260.7
49,654,3677.6
50,654,3894.6
51,654,3135.4
52,654,3942.3
53,654,3996.1
54,654,3927.6
55,654,3985.1
56,654,3263.1
57,654,3778.6
58,654,3980.5
59,654,4042.5
60,654,4001.7
61,654,3947.8
62,654,4261.3
63,654,4046.6
64,654,3844.2
65,654,4158.6
66,654,3945.3
67,654,4067.0
68,654,3729.8
69,654,4008.6
70,654,3905.1
71,654,4225.0
72,654,3693.3
73,654,4017.8
74,654,4302.3
75,654,3779.0
76,654,3881.5
77,654,4053.3
78,654,4266.3
79,654,3690.8
80,654,3914.4
81,654,4077.4
82,654,4002.1
83,654,4219.8
84,654,3821.1
85,654,3946.2
86,654,3966.6
87,654,3888.3
88,654,3266.8
89,654,3865.4
90,654,4040.6
91,654,3979.1
92,654,3967.7
93,654,4040.2
94,654,4228.5
95,654,3740.8
96,654,3923.1
97,654,3922.9
98,654,4007.5
99,654,3988.7
100,654,3965.1
101,654,3143.8
102,654,3875.4
103,654,3939.7
104,654,3235.8
105,654,3804.4
106,654,3962.1
107,654,3220.1
108,654,3871.8
109,654,4009.5
110,654,3975.5
111,654,3971.3
112,654,4011.0
113,654,3864.0
114,654,3114.2
115,654,3874.5
116,654,3224.4
117,654,3887.2
118,654,3966.1
119,654,3904.9
120,654,3156.3
121,654,3858.2
122,654,4117.2
123,654,3918.7
124,654,3994.0
125,654,3968.4
126,654,4019.4
127,654,3949.5
128,654,3158.4
129,654,3885.8
130,654,3935.3
131,654,3159.6
132,654,3854.7
133,654,3967.4
134,654,3164.3
135,654,3861.0
136,654,3950.0
137,654,3162.4
138,654,3853.7
139,654,3115.3
140,654,3882.2
141,654,3951.5
142,654,3190.8
143,654,3838.0
144,654,3963.6
145,654,3166.9
146,654,3828.9
147,654,3185.0
148,654,3981.8
149,654,4180.2
150,654,4006.0
151,654,4022.0
152,654,3641.0
153,654,4233.7
154,654,4079.9
155,654,3813.3
156,654,3803.4
157,654,3947.0
158,654,3232.1
159,654,3877.9
160,654,3979.1
161,654,3891.6
162,654,3157.5
163,654,4008.4
164,654,3832.0
165,654,3149.9
166,654,3844.6
167,654,3222.1
168,654,3802.5
169,654,4137.6
170,654,3945.2
171,654,4356.9
172,654,3647.8
173,654,4018.3
174,654,3945.1
175,654,3912.6
176,654,4003.9
177,654,3960.2
178,654,4035.8
179,654,3915.1
180,654,3109.6
181,654,3864.8
182,654,3131.9
183,654,3941.9
184,654,3903.6
185,654,3206.5
186,654,3843.1
187,654,3924.0
188,654,3258.7
189,654,3780.2
190,654,3092.6
191,654,3862.3
192,654,3536.8
193,654,3895.1
194,654,3874.7
195,654,4070.2
196,654,4117.4
197,654,3589.1
198,654,3919.2
199,654,3905.3
200,654,3200.4
201,654,3848.7
202,654,3222.8
203,654,3802.1
204,654,4135.7
205,654,3932.9
206,654,3939.6
207,654,3887.3
208,654,3163.7
209,654,3968.5
210,654,3902.0
211,654,3163.1
212,654,3911.2
213,654,4219.6
214,654,3869.3
215,654,4182.5
216,654,4095.3
217,654,3706.3
218,654,3933.8
219,654,3873.4
220,654,4034.7
221,654,3938.1
222,654,4291.6
223,654,4069.9
224,654,4092.0
225,654,3820.8
226,654,4014.4
227,654,4026.0
228,654,3765.5
229,654,3906.9
230,654,4245.1
231,654,4069.5
232,654,3983.3
233,654,3896.4
234,654,3802.0
235,654,4058.5
236,654,4169.7
237,654,4100.0
238,654,3976.6
239,654,4144.0
240,654,3652.0
241,654,4130.9
242,654,4044.9
243,654,3967.0
244,654,3720.1
245,654,4372.0
246,654,3947.0
247,654,3711.4
248,654,3983.9
249,654,3936.9
250,654,4171.5
251,654,4020.5
252,654,4197.5
253,654,3871.3
254,654,3790.0
255,654,4129.7
256,654,4006.6
257,654,4003.9
258,654,3750.6
259,654,3921.9
260,654,4258.6
261,654,3756.5
262,654,3974.9
263,654,4029.7
264,654,3897.5
265,654,3914.1
266,654,3157.3
267,654,3943.2
268,654,3898.8
269,654,3218.3
270,654,3813.1
271,654,4023.8
272,654,3879.2
273,654,3230.7
274,654,3933.4
275,654,3944.8
276,654,4015.6
277,654,4006.7
278,654,3983.5
279,654,3879.2
280,654,3171.9
281,654,3865.0
282,654,4012.9
283,654,3971.8
284,654,3920.0
285,654,3278.3
286,654,3916.9
287,654,3935.3
288,654,3903.4
289,654,3940.8
290,654,3146.4
291,654,3953.3
292,654,3903.3
293,654,3194.6
294,654,3898.4
295,654,3941.3
296,654,4293.2
297,654,3731.8
298,654,3934.3
299,654,4069.4
300,654,4120.8
301,654,3990.5
302,654,4158.2
303,654,4033.6
304,654,3608.2
305,654,3966.7
306,654,4003.1
307,654,4068.5
308,654,3976.5
309,654,3972.5
310,654,4031.6
311,654,4028.0
312,654,3985.5
313,654,3930.7
314,654,3975.2
315,654,3936.3
316,654,3220.3
317,654,3772.2
318,654,3249.2
319,654,3842.4
320,654,3866.4
321,654,3251.7
322,654,3767.5
323,654,3140.1
324,654,3935.9
325,654,3951.5
326,654,3921.0
327,654,4195.8
328,654,3836.5
329,654,3105.6
330,654,4004.7
331,654,3867.6
332,654,3162.7
333,654,3887.0
334,654,4031.6
335,654,3980.6
336,654,4030.2
337,654,3854.6
338,654,3265.9
339,654,3780.8
340,654,3951.2
341,654,3157.6
342,654,3947.3
343,654,3916.0
344,654,4041.8
345,654,3909.4
346,654,3153.6
347,654,3825.5
348,654,3237.0
349,654,3869.7
350,654,3912.7
351,654,3970.9
352,654,3253.7
353,654,3864.9
354,654,3902.3
355,654,4023.3
356,654,3921.7
357,654,3160.5
358,654,3953.5
359,654,3976.1
360,654,3967.6
361,654,3891.4
362,654,3188.8
363,654,3828.3
364,654,3232.5
365,654,3822.2
366,654,3928.5
367,654,3126.8
368,654,4018.4
369,654,3892.6
370,654,3923.7
371,654,3170.3
372,654,4060.0
373,654,3900.1
374,654,3957.4
375,654,3892.6
376,654,3150.5
377,654,3958.5
378,654,3898.3
379,654,3966.4
380,654,3135.5
381,654,3963.5
382,654,3929.4
383,654,3939.5
384,654,3171.5
385,654,3852.4
386,654,3999.1
387,654,3967.9
388,654,3984.8
389,654,3109.4
390,654,3918.6
391,654,3970.4
392,654,3963.6
393,654,3191.5
394,654,3809.0
395,654,3151.5
396,654,3851.1
397,654,3939.7
398,654,3185.5
399,654,3869.9
400,654,3954.2
401,654,3122.2
402,654,3910.1
403,654,3939.4
404,654,3164.3
405,654,3902.3
406,654,3892.7
407,654,3194.4
408,654,4032.6
409,654,4205.3
410,654,4016.5
411,654,3965.0
412,654,3985.1
413,654,4050.6
414,654,3938.3
415,654,3744.0
416,654,4210.1
417,654,4069.7
418,654,4016.0
419,654,3663.1
420,654,4188.7
421,654,3758.8
422,654,3973.3
423,654,3978.6
424,654,3992.8
425,654,4107.3
426,654,3919.0
427,654,3979.2
428,654,3966.7
429,654,3965.9
430,654,4227.2
431,654,4116.1
432,654,4034.6
433,654,4077.1
434,654,4021.6
435,654,3517.9
436,654,3954.8
437,654,3962.0
438,654,4016.6
439,654,3985.7
440,654,4027.5
441,654,3935.3
442,654,3995.5
443,654,4050.1
444,654,3977.3
445,654,3891.6
446,654,3211.7
447,654,3928.8
448,654,3895.9
449,654,3913.3
450,654,3348.5
451,654,3874.5
452,654,3857.1
453,654,4015.5
454,654,3970.6
455,654,4032.4
456,654,3994.4
457,654,3869.7
458,654,3128.9
459,654,3889.3
460,654,3123.3
461,654,3887.7
462,654,4152.8
463,654,3882.1
464,654,4090.4
465,654,3856.4
466,654,4003.3
467,654,4038.1
468,654,3915.8
469,654,3218.1
470,654,3825.3
471,654,3904.9
472,654,3281.0
473,654,3878.6
474,654,3902.3
475,654,3945.0
476,654,3240.3
477,654,3802.1
478,654,4016.9
479,654,3920.5
480,654,3236.3
481,654,3853.4
482,654,3970.7
483,654,3888.2
484,654,3265.1
485,654,3811.3
486,654,3935.9
487,654,3217.0
488,654,3908.0
489,654,3974.5
490,654,3909.5
491,654,3966.2
492,654,3125.8
493,654,3890.8
494,654,3953.1
495,654,4168.9
496,654,3952.0
497,654,3963.1
498,654,3895.2
499,654,3153.8
500,654,3937.4
501,654,3859.6
502,654,3211.3
503,654,3799.8
504,654,3201.3
505,654,3876.0
506,654,3864.4
507,654,3277.8
508,654,3881.5
509,654,3891.4
510,654,3948.5
511,654,3151.5
512,654,3973.9
513,654,4012.2
514,654,3986.2
515,654,4243.6
516,654,4029.3
517,654,3639.3
518,654,3942.3
519,654,3109.0
520,654,3888.9
521,654,3939.2
522,654,3195.6
523,654,3876.4
524,654,3984.1
525,654,3993.9
526,654,3969.1
527,654,3204.6
528,654,4181.5
529,654,3857.4
530,654,4131.1
531,654,3928.4
532,654,4140.9
533,654,3916.4
534,654,3985.7
535,654,3730.4
536,654,4053.9
537,654,4147.5
538,654,3831.7
539,654,3897.8
540,654,3988.9
541,654,4286.3
542,654,3668.8
543,654,3885.7
544,654,3260.6
545,654,3820.9
546,654,3895.4
547,654,3172.3
548,654,3835.9
549,654,3209.0
550,654,3837.0
551,654,4015.7
552,654,3930.6
553,654,3274.0
554,654,3855.6
555,654,3968.3
556,654,3909.6
557,654,4048.4
558,654,3915.8
559,654,3236.7
560,654,3803.1
561,654,3911.4
562,654,3228.7
563,654,3888.3
564,654,4224.5
565,654,4073.8
566,654,4019.7
567,654,3838.8
568,654,3779.2
569,654,3976.8
570,654,3992.4
571,654,3945.4
572,654,3232.4
573,654,3877.2
574,654,3973.2
575,654,3970.3
576,654,3912.9
577,654,3204.4
578,654,3853.3
579,654,3933.6
580,654,3189.8
581,654,3828.4
582,654,3964.7
583,654,3236.1
584,654,3909.3
585,654,3898.1
586,654,3901.9
587,654,3485.1
588,654,3655.4
589,654,3915.6
590,654,4285.9
591,654,3795.0
592,654,4100.9
593,654,3884.6
594,654,4047.8
595,654,3852.0
596,654,3903.8
597,654,3136.2
598,654,4028.5
599,654,3885.8
600,654,3932.4
601,654,3185.3
602,654,3934.0
603,654,3937.0
604,654,3986.7
605,654,4129.2
606,654,4007.5
607,654,3858.2
608,654,3986.6
609,654,4251.7
610,654,4105.9
611,654,4022.5
612,654,4041.5
613,654,3929.6
614,654,3829.1
