iteration,latency_ns,round_trip_us
0,654,4122.7
1,654,4102.4
2,654,3801.9
3,654,3967.4
4,654,3833.5
5,654,4041.6
6,654,3991.3
7,654,3998.3
8,654,3991.7
9,654,3924.2
10,654,4022.2
11,654,3922.4
12,654,3169.7
13,654,3951.1
14,654,4206.1
15,654,3838.1
16,654,3844.2
17,654,3157.8
18,654,3903.3
19,654,3952.2
20,654,3965.2
21,654,3152.3
22,654,3823.1
23,654,3184.6
24,654,3887.5
25,654,3913.0
26,654,3140.1
27,654,3902.9
28,654,3979.6
29,654,3974.4
30,654,3235.0
31,654,3854.6
32,654,3865.5
33,654,3276.2
34,654,3877.3
35,654,3876.7
36,654,3133.3
37,654,3910.4
38,654,3959.4
39,654,3992.5
40,654,4037.4
41,654,3925.3
42,654,3173.1
43,654,3807.3
44,654,3178.9
45,654,3848.4
46,654,3970.0
47,654,3166.1
48,654,3929.3
49,654,4702.7
50,654,3402.1
51,654,3922.3
52,654,4195.0
53,654,4051.4
54,654,3926.0
55,654,4027.2
56,654,3913.3
57,654,4094.3
58,654,3741.4
59,654,4361.3
60,654,3562.3
61,654,4034.1
62,654,3964.7
63,654,3929.0
64,654,3946.9
65,654,3147.8
66,654,3960.2
67,654,3940.3
68,654,4081.1
69,654,4222.2
70,654,4025.7
71,654,3987.7
72,654,3817.5
73,654,4132.6
74,654,4014.4
75,654,3783.5
76,654,3904.7
77,654,4385.5
78,654,3560.9
79,654,3936.0
80,654,4051.5
81,654,4014.6
82,654,3951.5
83,654,3963.6
84,654,3941.7
85,654,3129.2
86,654,3871.9
87,654,3241.3
88,654,3785.0
89,654,3152.0
90,654,3837.1
91,654,3177.1
92,654,3965.2
93,654,3858.5
94,654,3936.3
95,654,3142.2
96,654,3997.4
97,654,4246.1
98,654,4034.3
99,654,3715.7
100,654,3916.8
101,654,3903.0
102,654,3201.9
103,654,3874.2
104,654,3995.0
105,654,3994.1
106,654,3932.8
107,654,3252.4
108,654,3880.9
109,654,3934.9
110,654,4234.7
111,654,3850.4
112,654,3830.7
113,654,3166.4
114,654,3852.8
115,654,3946.3
116,654,3175.0
117,654,3924.7
118,654,4316.9
119,654,3720.0
120,654,3992.7
121,654,3843.2
122,654,4153.7
123,654,3961.8
124,654,3976.8
125,654,3992.8
126,654,3962.9
127,654,3933.4
128,654,3943.3
129,654,3264.5
130,654,3917.4
131,654,3907.6
132,654,4342.4
133,654,3709.5
134,654,3959.3
135,654,3992.3
136,654,3987.7
