iteration,ping_toggle_delta_us
0,2928.0
1,2904.3
2,3045.3
3,2936.2
4,2973.1
5,2910.4
6,2834.9
7,2953.7
8,2965.9
9,2234.9
10,1461.1
11,2127.1
12,2939.6
13,2914.6
14,2910.5
15,3083.1
16,2942.0
17,2871.3
18,2749.4
19,3019.2
20,2867.6
21,3265.4
22,2422.9
23,2061.7
24,2500.6
25,2100.9
26,2936.3
27,3027.2
28,2920.9
29,2889.0
30,2898.1
31,2859.0
32,2955.0
33,2901.9
34,2883.5
35,2832.6
36,2830.3
37,2793.6
38,2985.3
39,2943.0
40,2892.5
41,2881.9
42,2896.8
43,2941.4
44,2868.1
45,2943.6
46,2870.8
47,2876.2
48,2824.7
49,2944.7
50,3014.4
51,2915.0
52,2214.2
53,2119.6
54,2212.5
55,2068.8
56,2089.1
57,3352.8
58,1377.4
59,2884.3
60,2885.6
61,2143.9
62,1302.9
63,2236.2
64,1406.6
65,2159.6
66,2911.2
67,2875.7
68,2129.3
69,1339.9
70,2256.0
71,2261.9
72,2308.2
73,2177.3
74,2777.5
75,2965.8
76,2916.2
77,2767.8
78,2908.9
79,2940.3
80,2975.1
81,2913.1
82,3010.4
83,2940.0
84,2917.8
85,3021.2
86,2272.8
87,2223.0
88,2819.6
89,2857.6
90,2951.8
91,3004.1
92,1965.1
93,2823.4
94,2287.4
95,2117.6
96,2832.4
97,2973.5
98,2946.6
99,2890.2
